username,user_rating,first_line_percentage,second_line_percentage,third_line_percentage,bad_moves_percentage
Ucitel,2407,90.48,4.76,0.00,4.76
Ucitel,2598,90.32,6.45,3.23,0.00
Ucitel,2601,90.32,3.23,3.23,3.23
Ucitel,2407,90.32,6.45,3.23,0.00
Ucitel,2605,90.00,2.00,4.00,4.00
Ucitel,2615,89.71,5.88,1.47,2.94
Ucitel,2606,89.66,10.34,0.00,0.00
Ucitel,2606,89.58,4.17,0.00,6.25
Ucitel,2614,89.47,0.00,2.63,7.89
Ucitel,2602,89.47,5.26,5.26,0.00
Ucitel,2605,89.23,7.69,1.54,1.54
Ucitel,2601,88.89,11.11,0.00,0.00
Ucitel,2582,88.89,11.11,0.00,0.00
Ucitel,2582,88.57,8.57,2.86,0.00
Ucitel,2579,88.52,4.92,0.00,6.56
Ucitel,2614,88.24,11.76,0.00,0.00
Ucitel,2557,88.24,5.88,0.00,5.88
Ucitel,2596,88.16,7.89,0.00,3.95
Ucitel,2621,88.10,4.76,0.00,7.14
Ucitel,2609,88.00,4.00,4.00,4.00
Ucitel,2584,88.00,8.00,0.00,4.00
Ucitel,2596,87.93,8.62,1.72,1.72
Ucitel,2620,87.50,3.12,3.12,6.25
Ucitel,2620,87.50,6.25,6.25,0.00
Ucitel,2611,87.10,11.29,1.61,0.00
Ucitel,2581,87.04,1.85,11.11,0.00
Ucitel,2560,86.96,6.52,2.17,4.35
Ucitel,2589,86.67,13.33,0.00,0.00
Ucitel,2616,86.21,10.34,0.00,3.45
Ucitel,2574,85.92,9.86,2.82,1.41
Ucitel,2601,85.71,5.71,0.00,8.57
Ucitel,2581,85.71,2.86,0.00,11.43
Ucitel,2594,85.71,3.57,10.71,0.00
Ucitel,2603,85.71,9.52,2.38,2.38
